Municipalities,Samples,Apparent_Color,Turbinity,pH,Res_Cloride,Alkalinity,Calcium,Magnesium,Hardness,Sulfates,Iron,Clorures,Nitrites,Coliforms,E_Coli,IRCA,Level
Aguada,9,0.9055555555,0.3366666666,7.4088888888,1.2142857142,46,18.6111111111,12.6011111111,72.4333333333,17.9116666666,0.1,8.2022222222,0.0105714285,905,300,9.874444,BAJO
Albania,7,0.7142857142,0.2357142857,7.5,1,78.2142857142,25.7428571428,31.1514285714,154.6857142857,69.87,0.05,5.1657142857,0.0262,1292.8571428571,1410,32.004285,MEDIO
Aratoca,9,1.8888888888,0.4277777777,7.2655555555,0.3857142857,23.7222222222,6.1,5.1766666666,27.6666666666,6.3866666666,0.0971428571,4.17875,0.0205714285,963.375,75.25,31.928888,MEDIO
Barbosa,9,0.3722222222,0.9611111111,7.7022222222,1.5566666666,52.7,35.6111111111,21.1455555555,123.7166666666,62.07,0.1214285714,10.9811111111,0.0132,1396.3333333333,85.1111111111,30.994444,MEDIO
Barichara,11,0.319,0.69,7.3272727272,1.2,7.3,3.55,3.7422222222,21.79,30.9571428571,0.1157142857,7.495,0.014625,4.7,0,4.38,SIN RIESGO
Barrancabermeja,40,2.4118115942,0.7622463768,7.0857142857,1.1388571428,13.3192028985,10.4918978102,8.3634057971,45.7807971014,24.5534821428,0.3015789473,10.2778102189,0.0139381443,17.4637681159,0.7737226277,2.332142,SIN RIESGO
Betulia,11,4.2627272727,0.629090909,6.0727272727,1.3055555555,3.6363636363,3.9363636363,4.3645454545,22.1272727272,18.2575,0.0666666666,6.4463636363,0.0226666666,5.3,0.1,7.500909,BAJO
Bolívar,8,0.395,0.71,7.6,0.975,133.5625,24.5125,24.83875,138.35,28.862,0.0533333333,9.74,0.0206666666,3.2857142857,0,4.8075,SIN RIESGO
Bucaramanga,41,0.3727272727,0.2569090909,7.3874107142,0.9634285714,43.1477272727,20.7409545454,11.0827272727,71.4754545454,42.3958823529,0.01975,7.698,0.0193582887,3.2130434782,0.5304347826,2.329419,SIN RIESGO
Cabrera,11,3.4545454545,1.4327272727,7.3727272727,0.709090909,35.1818181818,12.4363636363,10.039090909,54.2945454545,15.575,0.0855555555,7.37,0.017125,0.3333333333,0,7.025454,BAJO
California,8,0.505,0.48375,7.63,1.0285714285,82.1875,27.72625,26.17375,136.775,28.6066666666,0.0671428571,8.89625,0.0145714285,5.625,0,4.4025,SIN RIESGO
Capitanejo,9,1.6666666666,1.7455555555,6.9277777777,0.4111111111,14.8333333333,2.5,2.1577777777,17.6277777777,26.6516666666,0.0914285714,4.6988888888,0.0074285714,954.875,25.25,27.082222,MEDIO
Carcasí,8,0.5,0.36875,7.465,0.94,136.375,18.7625,29.81125,231.24375,66.2016666666,0.01,5.095,0.0104285714,222,0.1428571428,8.87625,BAJO
Cepitá,9,0.4444444444,0.0322222222,7.6222222222,0.9888888888,133.5555555555,34.7666666666,29.58,164.5222222222,51.612,0.0185714285,10.7888888888,0.013875,9.6666666666,0.3333333333,10.762222,BAJO
Cerrito,8,3.25,2.8475,7.46,0,82.5625,24.025,12.36625,80.6,19.29,0.08,5.00875,0.0253333333,811.8333333333,1.8333333333,23.12,MEDIO
